01:15:16,331 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 228 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/73>
01:15:16,332 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 231 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/74>
01:15:16,333 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 234 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/75>
01:15:16,333 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 237 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/76>
01:15:16,334 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 240 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/77>
01:15:16,335 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 243 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/78>
01:15:16,336 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 246 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/79>
01:15:16,337 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 249 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/80>
01:15:16,338 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 252 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/81>
01:15:16,339 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 255 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/82>
01:15:16,340 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 258 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/83>
01:15:16,340 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 261 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/84>
01:15:16,341 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 264 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/85>
01:15:16,342 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 267 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/86>
01:15:16,342 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 270 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/87>
01:15:16,343 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 273 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/88>
01:15:16,344 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 276 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/89>
01:15:16,344 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 279 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/90>
01:15:16,345 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 282 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/91>
01:15:16,346 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 285 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/92>
01:15:16,346 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 288 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/93>
01:15:16,347 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 291 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/94>
01:15:16,348 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 294 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/95>
01:15:16,348 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 297 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/96>
01:15:16,349 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 300 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/97>
01:15:16,350 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 303 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/98>
01:15:16,350 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 306 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/99>
01:15:16,351 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 309 column 34): {W130} Base URI is "", relative URIs left as relative.: <r/100>
